id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35522201,Green Lake 2 bedroom updated condo.,79402947,The Turtle House,Other neighborhoods,Green Lake,47.67904,-122.32385,Entire home/apt,157,30,18,3/27/2023,0.3,1,321,0,STR-OPLI-22-776428
35544099,Constantine's Cottage - West Seattle at its Best,267415666,Christopher David,Delridge,South Delridge,47.53295,-122.35659,Entire home/apt,250,30,13,11/29/2019,0.21,1,83,0,837513
35546534,URBAN RETREAT NEAR DOWNTOWN SEATTLE,55584831,Esther,West Seattle,North Admiral,47.57115,-122.37584,Entire home/apt,145,3,88,6/17/2024,1.45,1,225,15,STR-OPLI-19-001558
35601606,Maple Leaf Room-One of Seattle's best locations,267840066,Mark,Northgate,Maple Leaf,47.6944,-122.32067,Private room,35,30,24,3/16/2024,0.4,1,331,3,
35642589,Cozy Studio Apartment in Central District,14906470,Alec,Central Area,Mann,47.60846,-122.29779,Entire home/apt,,1,141,6/4/2024,2.35,1,0,23,STR-OPLI-19-000661
35649793,"W. Seattle priv 1 BR Garden Retreat- Patio, Views!",6028619,Chance,West Seattle,Gatewood,47.53434,-122.38845,Entire home/apt,138,30,10,2/8/2020,0.17,1,320,0,STR-OPLI-24-000530
35678119,Cozy Backyard Cottage on Green Lake,14441275,David,Other neighborhoods,Green Lake,47.67846,-122.33216,Entire home/apt,123,2,125,6/14/2024,2.12,1,18,62,STR-OPLI-19-002341
35735114,Maple Leaf Launchpad,268799519,Andrew,Northgate,Maple Leaf,47.69671,-122.32771,Entire home/apt,172,3,155,6/10/2024,2.63,1,81,34,STR-OPLI-19-003095
35807042,Live Like a Local - 2.5 block walk to Light Rail,8291981,Lynn,Beacon Hill,North Beacon Hill,47.57843929,-122.3138102,Entire home/apt,118,3,123,6/13/2024,2.1,1,89,21,STR-OPLI-19-001660
35831247,Country Oasis in North Seattle,41278972,Courtney,Lake City,Cedar Park,47.7334,-122.2907,Entire home/apt,166,2,74,6/5/2024,1.25,1,92,13,STR-OPLI-19-000899
35843937,"The Lily Suite: better than a hotel, 1/2 the cost",253059,Marie,Central Area,Harrison/Denny-Blaine,47.62311248,-122.293372,Entire home/apt,130,2,31,6/9/2024,0.52,6,176,10,STR-OPLI-19-002058
35870877,Charming West Seattle Hidaway ★ Great Location,80566034,Beata,West Seattle,North Admiral,47.57615,-122.38423,Entire home/apt,171,30,22,6/7/2024,0.4,2,149,6,STR-OPLI-20-000928
35879017,Cozy Garden Suite 2 blocks from light rail,269869520,Kim,Rainier Valley,Columbia City,47.55811,-122.28953,Private room,96,2,199,6/14/2024,3.29,1,300,40,STR-OPLI-19-000548
35915436,"Your Own, Green Lake Cottage & Private Parking",270147913,Cj,Other neighborhoods,Green Lake,47.67061,-122.33851,Entire home/apt,245,4,209,6/18/2024,3.49,1,24,28,STR-OPLI-19-000666
35933365,单房出租～1,28763024,Yoyo,Beacon Hill,Mid-Beacon Hill,47.54291,-122.29902,Private room,27,30,9,1/1/2024,0.15,9,99,2,
35937764,westSEAnest,270297986,Alina,West Seattle,Genesee,47.56843,-122.37881,Entire home/apt,,3,92,5/31/2024,1.64,1,0,7,STR-OPLI-19-002606
35998945,Madison Park House - Ideal for Tech Professionals,270823232,Angela,Central Area,Harrison/Denny-Blaine,47.62229,-122.29084,Entire home/apt,580,7,2,10/9/2021,0.06,1,346,0,STR-OPLI-20-001054
36035418,Northwest Cottage,271101203,Alisha,Northgate,Haller Lake,47.71776,-122.33246,Entire home/apt,,30,43,5/18/2024,0.74,1,9,6,STR-OPLI-20-000857
36037114,"Modern, Private Studio - 3 Blocks to Light Rail",78747231,Ian,Rainier Valley,Brighton,47.53754,-122.2767,Entire home/apt,79,1,519,6/14/2024,8.55,1,271,116,str-opli-19-000547
36041891,Loft 42 Condominiums Suite 202,178772243,Darnell,West Seattle,Gatewood,47.54246,-122.38639,Entire home/apt,80,1,1,11/5/2022,0.05,1,143,0,STR-OPLI-22-001793
